,network name,property,Certified,Compute time,method
163,ACASXU_run2a_2_7_batch_2000,1,False,7.290096044540405,DeepPoly + Complete MILP
164,ACASXU_run2a_3_6_batch_2000,2,False,9.108482837677002,DeepPoly + Complete MILP
165,ACASXU_run2a_2_7_batch_2000,4,True,1.7480061054229736,DeepPoly + Complete MILP
166,ACASXU_run2a_5_2_batch_2000,5,True,5.2882561683654785,DeepPoly + Complete MILP
167,ACASXU_run2a_3_4_batch_2000,2,False,6.086812734603882,DeepPoly + Complete MILP
168,ACASXU_run2a_1_3_batch_2000,2,False,8.67449140548706,DeepPoly + Complete MILP
169,ACASXU_run2a_2_8_batch_2000,4,True,1.6503520011901855,DeepPoly + Complete MILP
170,ACASXU_run2a_1_2_batch_2000,1,True,16.785497426986694,DeepPoly + Complete MILP
171,ACASXU_run2a_5_9_batch_2000,1,INFEASIBLE,10.198692798614502,DeepPoly + Complete MILP
172,ACASXU_run2a_2_4_batch_2000,4,True,1.149740219116211,DeepPoly + Complete MILP
173,ACASXU_run2a_2_2_batch_2000,3,True,3.169651746749878,DeepPoly + Complete MILP
174,ACASXU_run2a_3_2_batch_2000,3,True,1.3833129405975342,DeepPoly + Complete MILP
175,ACASXU_run2a_3_7_batch_2000,2,INFEASIBLE,38.686577558517456,DeepPoly + Complete MILP
176,ACASXU_run2a_3_5_batch_2000,5,True,8.969808340072632,DeepPoly + Complete MILP
177,ACASXU_run2a_4_7_batch_2000,4,True,1.4569814205169678,DeepPoly + Complete MILP
178,ACASXU_run2a_2_1_batch_2000,5,False,5.3597118854522705,DeepPoly + Complete MILP
179,ACASXU_run2a_4_9_batch_2000,1,False,15.08948540687561,DeepPoly + Complete MILP
180,ACASXU_run2a_1_5_batch_2000,4,True,1.4534296989440918,DeepPoly + Complete MILP
181,ACASXU_run2a_2_3_batch_2000,3,True,1.557861328125,DeepPoly + Complete MILP
182,ACASXU_run2a_3_4_batch_2000,5,False,3.457691192626953,DeepPoly + Complete MILP
183,ACASXU_run2a_3_9_batch_2000,2,False,6.755941152572632,DeepPoly + Complete MILP
184,ACASXU_run2a_4_4_batch_2000,5,False,5.3736138343811035,DeepPoly + Complete MILP
185,ACASXU_run2a_5_1_batch_2000,1,False,5.177147626876831,DeepPoly + Complete MILP
186,ACASXU_run2a_4_8_batch_2000,3,True,0.011234760284423828,DeepPoly + Complete MILP
187,ACASXU_run2a_1_7_batch_2000,3,False,7.054251194000244,DeepPoly + Complete MILP
188,ACASXU_run2a_5_8_batch_2000,2,False,6.723517179489136,DeepPoly + Complete MILP
189,ACASXU_run2a_1_9_batch_2000,3,False,7.269109725952148,DeepPoly + Complete MILP
190,ACASXU_run2a_2_6_batch_2000,3,True,0.009816646575927734,DeepPoly + Complete MILP
191,ACASXU_run2a_2_9_batch_2000,4,True,0.008299112319946289,DeepPoly + Complete MILP
192,ACASXU_run2a_1_1_batch_2000,4,True,14.602254390716553,DeepPoly + Complete MILP
193,ACASXU_run2a_5_2_batch_2000,4,True,3.268744468688965,DeepPoly + Complete MILP
194,ACASXU_run2a_3_6_batch_2000,4,True,1.6549394130706787,DeepPoly + Complete MILP
195,ACASXU_run2a_4_3_batch_2000,1,False,5.373848915100098,DeepPoly + Complete MILP
196,ACASXU_run2a_5_2_batch_2000,3,True,4.46537709236145,DeepPoly + Complete MILP
197,ACASXU_run2a_3_2_batch_2000,5,False,3.4884097576141357,DeepPoly + Complete MILP
198,ACASXU_run2a_5_5_batch_2000,1,False,6.624681711196899,DeepPoly + Complete MILP
199,ACASXU_run2a_3_8_batch_2000,3,True,1.0437374114990234,DeepPoly + Complete MILP
200,ACASXU_run2a_5_9_batch_2000,3,True,0.011171340942382812,DeepPoly + Complete MILP
201,ACASXU_run2a_2_1_batch_2000,3,True,2.6511662006378174,DeepPoly + Complete MILP
202,ACASXU_run2a_1_9_batch_2000,2,True,9.164492130279541,DeepPoly + Complete MILP
203,ACASXU_run2a_4_8_batch_2000,5,False,6.289120197296143,DeepPoly + Complete MILP
204,ACASXU_run2a_1_7_batch_2000,2,True,8.975724220275879,DeepPoly + Complete MILP
205,ACASXU_run2a_2_3_batch_2000,2,False,5.167062282562256,DeepPoly + Complete MILP
206,ACASXU_run2a_1_6_batch_2000,3,True,0.011199951171875,DeepPoly + Complete MILP
207,ACASXU_run2a_5_4_batch_2000,2,False,4.109883069992065,DeepPoly + Complete MILP
208,ACASXU_run2a_3_1_batch_2000,4,True,2.3656530380249023,DeepPoly + Complete MILP
209,ACASXU_run2a_2_8_batch_2000,1,False,7.792727470397949,DeepPoly + Complete MILP
210,ACASXU_run2a_2_2_batch_2000,5,False,5.3731560707092285,DeepPoly + Complete MILP
211,ACASXU_run2a_3_8_batch_2000,5,False,6.681752681732178,DeepPoly + Complete MILP
212,ACASXU_run2a_1_6_batch_2000,2,False,9.891092777252197,DeepPoly + Complete MILP
213,ACASXU_run2a_2_5_batch_2000,3,True,0.7423672676086426,DeepPoly + Complete MILP
214,ACASXU_run2a_5_5_batch_2000,4,True,1.166166067123413,DeepPoly + Complete MILP
215,ACASXU_run2a_1_3_batch_2000,1,INFEASIBLE,18.882139444351196,DeepPoly + Complete MILP
216,ACASXU_run2a_5_4_batch_2000,3,True,1.353543996810913,DeepPoly + Complete MILP
217,ACASXU_run2a_4_7_batch_2000,2,False,7.48091983795166,DeepPoly + Complete MILP
218,ACASXU_run2a_4_4_batch_2000,1,False,3.9686129093170166,DeepPoly + Complete MILP
219,ACASXU_run2a_2_4_batch_2000,1,False,4.868515729904175,DeepPoly + Complete MILP
220,ACASXU_run2a_1_9_batch_2000,4,False,6.277483224868774,DeepPoly + Complete MILP
221,ACASXU_run2a_1_2_batch_2000,5,True,1.7543039321899414,DeepPoly + Complete MILP
222,ACASXU_run2a_3_4_batch_2000,4,True,1.262657642364502,DeepPoly + Complete MILP
223,ACASXU_run2a_2_9_batch_2000,3,True,0.008995294570922852,DeepPoly + Complete MILP
224,ACASXU_run2a_5_6_batch_2000,1,False,5.885825157165527,DeepPoly + Complete MILP
